campaign_id,channel_id,category,channel,budget,spend,tracking_code,campaign_channel_id
10001,605,In-Store,Signage,3200,4000,4NQSPX,10001IN4NQSPX
10001,904,Social,Forum,3900,3588,6FWEOU,10001SO6FWEOU
10002,723,Web,Microsites,2000,2400,7WHGTM,10002WE7WHGTM
10003,303,Direct,Postal Mail,4800,4896,9JUSKL,10003DI9JUSKL
10003,905,Social,Influencer outreach,2100,1995,3XNYND,10003SO3XNYND
10003,112,Advertising,Receipt Code,2400,1968,2KPVTQ,10003AD2KPVTQ
10004,110,Advertising,Product Packaging,4400,3652,9FQMQH,10004AD9FQMQH
10004,906,Social,LinkedIn Group,1400,1288,0BVINK,10004SO0BVINK
10004,903,Social,Facebook Post,700,455,7XSXHQ,10004SO7XSXHQ
10004,110,Advertising,Product Packaging,4400,4620,8XWMMV,10004AD8XWMMV
10005,402,Email,Email Signature,1900,2242,0URYIN,10005EM0URYIN
10005,802,PR,Public Relations,6300,6111,7MBLMQ,10005PR7MBLMQ
10005,303,Direct,Postal Mail,4800,4272,7MWSCD,10005DI7MWSCD
10006,811,Search,PPC,6900,4968,3PTPUV,10006SE3PTPUV
10006,114,Advertising,YouTube Pre-roll,1900,1349,4OPLZH,10006AD4OPLZH
10006,811,Search,PPC,6900,6969,6IPHAL,10006SE6IPHAL
10006,903,Social,Facebook Post,700,742,2JINWT,10006SO2JINWT
10007,104,Advertising,In-game,1400,924,3ILEYQ,10007AD3ILEYQ
10008,604,In-Store,POS displays,5200,3172,7UICSC,10008IN7UICSC
10008,905,Social,Influencer outreach,2100,1953,1OYZUK,10008SO1OYZUK
10009,369,Telephone,Telesales,42200,23210,1JQUIS,10009TE1JQUIS
10009,109,Advertising,Paid Review,1200,864,4FFVET,10009AD4FFVET
10009,904,Social,Forum,3900,3471,5FPLKZ,10009SO5FPLKZ
10010,101,Advertising,Aggregator,700,602,0BNBFV,10010AD0BNBFV
10011,812,Search,SEO,2300,2415,6VRXUF,10011SE6VRXUF
10011,812,Search,SEO,2300,2231,4QSXQZ,10011SE4QSXQZ
10012,110,Advertising,Product Packaging,4400,4796,1BSHRD,10012AD1BSHRD
10013,904,Social,Forum,3900,4173,4YORKP,10013SO4YORKP
10014,401,Email,Email Blast,2800,2436,4PUXFF,10014EM4PUXFF
10014,402,Email,Email Signature,1900,2337,8DPSEA,10014EM8DPSEA
10015,812,Search,SEO,2300,1748,3NNNTK,10015SE3NNNTK
10015,901,Social,Blog,700,581,5MLNXI,10015SO5MLNXI
10016,905,Social,Influencer outreach,2100,1806,3XYLBF,10016SO3XYLBF
10016,909,Social,Twitter account,1800,2412,5LOWZD,10016SO5LOWZD
10016,801,PR,Press Release,4700,4136,2VTXWV,10016PR2VTXWV
10017,204,Content,Report Sponsorship,3600,3888,2UUYJB,10017CO2UUYJB
10017,303,Direct,Postal Mail,4800,3792,3MHKXX,10017DI3MHKXX
10018,205,Content,Research Paper,5900,5959,5MJMSX,10018CO5MJMSX
10019,202,Content,Infographics,2900,2610,8TQRRL,10019CO8TQRRL
10019,909,Social,Twitter account,1800,1764,6HANKI,10019SO6HANKI
10019,107,Advertising,Magazine Ad,4300,4085,6OSFIN,10019AD6OSFIN
10020,909,Social,Twitter account,1800,1854,4DSMGB,10020SO4DSMGB
10020,112,Advertising,Receipt Code,2400,2544,9VUPVZ,10020AD9VUPVZ
10021,902,Social,Facebook Page,2300,2277,3ZZQOU,10021SO3ZZQOU
10022,904,Social,Forum,3900,3432,0TRTVG,10022SO0TRTVG
10023,106,Advertising,LinkedIn Ad,1000,870,7JGVJD,10023AD7JGVJD
10023,721,Web,Amazon Store,2100,1659,7JNVJM,10023WE7JNVJM
10023,303,Direct,Postal Mail,4800,3936,7RQAEW,10023DI7RQAEW
10024,909,Social,Twitter account,1800,2376,9UXFRH,10024SO9UXFRH
10025,812,Search,SEO,2300,1863,9QWXFM,10025SE9QWXFM
10025,203,Content,Presentation,4000,4320,3KFNLO,10025CO3KFNLO
10025,113,Advertising,Sports Sponsorship,54700,79315,3TEWVS,10025AD3TEWVS
10025,906,Social,LinkedIn Group,1400,1162,1BTEFX,10025SO1BTEFX
10025,501,Event,Brand Hijack,28900,22831,5UFAEA,10025EV5UFAEA
10025,369,Telephone,Telesales,42200,20678,7ZGAZO,10025TE7ZGAZO
10026,205,Content,Research Paper,5900,3835,2UNGNT,10026CO2UNGNT
10027,301,Direct,Alliance Marketing,9500,8835,8OJZNK,10027DI8OJZNK
10027,502,Event,Events,64000,41600,3HAOOW,10027EV3HAOOW
10028,801,PR,Press Release,4700,5875,5QOKVU,10028PR5QOKVU
10028,106,Advertising,LinkedIn Ad,1000,900,2QYOIU,10028AD2QYOIU
10029,802,PR,Public Relations,6300,4788,0UECJQ,10029PR0UECJQ
10029,906,Social,LinkedIn Group,1400,1274,6LMVPQ,10029SO6LMVPQ
10030,203,Content,Presentation,4000,4600,0NFNME,10030CO0NFNME
10030,909,Social,Twitter account,1800,2016,8EMVOY,10030SO8EMVOY
10030,206,Content,Video,11700,12402,7STEHG,10030CO7STEHG
