"a__channel__channel_category","a__channel__type","cp__channel__campaign_channel_id","f__channel__budget","f__channel__spend","r__campaigns"
Advertising,In-game,"10060AD2GEZMQ",140.00,109.20,"10060"
Advertising,Insert,"10066AD5UOFIX",440.00,497.20,"10066"
Advertising,LinkedIn Ad,"10028AD2QYOIU",100.00,90.00,"10028"
Advertising,Product Packaging,"10004AD8XWMMV",440.00,462.00,"10014"
Advertising,Product Packaging,"10004AD9FQMQH",440.00,365.20,"10004"
Advertising,Product Packaging,"10012AD1BSHRD",440.00,479.60,"10012"
Advertising,Sports Sponsorship,"10025AD3TEWVS",5470.00,7931.50,"10033"
Advertising,YouTube Pre-roll,"10048AD7VFTPF",190.00,245.10,"10048"
Content,Content marketing,"10056CO7ODDFP",280.00,156.80,"10056"
Content,Infographics,"10019CO8TQRRL",290.00,261.00,"10019"
Content,Infographics,"10039CO7QOFAB",290.00,232.00,"10039"
Content,Research Paper,"10026CO2UNGNT",590.00,383.50,"10026"
Direct,Alliance Marketing,"10027DI8OJZNK",950.00,883.50,"10027"
Direct,Postal Mail,"10003DI9JUSKL",480.00,489.60,"10003"
Direct,Postal Mail,"10053DI0ZVFWG",480.00,302.40,"10053"
Email,Email Blast,"10072EM4NCLZD",280.00,327.60,"10072"
Email,Email Signature,"10005EM0URYIN",190.00,224.20,"10005"
Email,Email Signature,"10014EM8DPSEA",190.00,233.70,"10014"
Event,Brand Hijack,"10025EV5UFAEA",2890.00,2283.10,"10025"
Event,Brand Hijack,"10077EV7LNVCN",2890.00,3554.70,"10077"
Event,Events,"10027EV3HAOOW",6400.00,4160.00,"10027"
In-Store,POS displays,"10008IN7UICSC",520.00,317.20,"10008"
In-Store,POS displays,"10031IN4LZPMG",520.00,618.80,"10031"
In-Store,Signage,"10052IN9AHVHV",320.00,339.20,"10052"
Mobile,SMS,"10035MO4LFSGB",390.00,405.60,"10035"
Mobile,SMS,"10038MO0OIERX",390.00,382.20,"10038"
Mobile,SMS,"10066MO9QFTNO",390.00,401.70,"10066"
PR,Press Release,"10028PR5QOKVU",470.00,587.50,"10028"
Search,PPC,"10006SE6IPHAL",690.00,696.90,"10006"
Social,Blog,"10047SO6NDNQD",70.00,73.50,"10047"
Social,Facebook Page,"10045SO7WCTTF",230.00,177.10,"10045"
Social,Facebook Post,"10004SO7XSXHQ",70.00,45.50,"10004"
Social,Facebook Post,"10038SO1BHGEQ",70.00,74.90,"10038"
Social,Forum,"10001SO6FWEOU",390.00,358.80,"10001"
Social,Forum,"10009SO5FPLKZ",390.00,347.10,"10009"
Social,Forum,"10013SO4YORKP",390.00,417.30,"10013"
Social,Forum,"10022SO0TRTVG",390.00,343.20,"10022"
Social,Forum,"10065SO2PRYEL",390.00,354.90,"10065"
Social,LinkedIn Group,"10004SO0BVINK",140.00,128.80,"10004"
Social,LinkedIn Group,"10029SO6LMVPQ",140.00,127.40,"10029"
Social,LinkedIn Group,"10040SO6DWUIH",140.00,137.20,"10040"
Social,Twitter,"10045SO4ZBUKW",80.00,104.00,"10045"
Social,Twitter account,"10020SO4DSMGB",180.00,185.40,"10020"
Social,Twitter account,"10042SO7NDKQS",180.00,140.40,"10042"
